Name,Condition,quantity,cost price each,Total Cost,selling price,total selling price,Search Text For Item,image search,image fetch,Image Link,Image,,Google image search
Dell G16 i7 13700HX 32 1TB 4060 Gaming Laptop Notebook,Brand New,4,12989,51956,33000,132000,Dell%20G16%20i7%2013700HX%2032%201TB%204060%20Gaming%20Laptop%20Notebook%20-%20Manufacturer%20Stock%20Image,https://images.search.yahoo.com/search/images?p=Dell%20G16%20i7%2013700HX%2032%201TB%204060%20Gaming%20Laptop%20Notebook%20-%20Manufacturer%20Stock%20Image,"{""tw"":""1000"",""th"":""1000"",""tc"":""0"",""rtc"":"""",""stc"":"""",""a"":""www.exclusivestores.gr"",""s"":""141.8KB"",""w"":""1000"",""h"":""1000"",""hq"":false,""o"":"""",""c"":"""",""p"":false,""g"":"""",""sm"":"""",""is"":"""",""icMeta"":[],""rurl"":""https:\/\/www.exclusivestores.gr\/dell\/dell_product_details\/244-94-DENSRG7630A\/DELL-Laptop-G16-7630-16\u0027\u0027-QHD-i7-13700HX-32GB-1TB-SSD-GeForce-RTX-4060-8GB-Win-11-1Y-PRM-NBD-Metallic-Nightshade"",""sigr"":""mbmynb6W8cLA"",""hturl"":"""",""ad"":false,""alt"":""DELL 
Laptop G16 7630 16\u0026#39;\u0026#39; QHD+\/i7-13700HX\/32GB\/1TB 
SSD\/GeForce RTX 4060 8GB\/Win 11\/1Y PRM NBD 
..."",""rtl"":0,""iurl"":""https:\/\/www.exclusivestores.gr\/dell\/images\/photos\/244-94-DENSRG7630A.jpg"",""sigi"":""SvcD.rYecPTN"",""ourl"":""https:\/\/www.exclusivestores.gr\/dell\/images\/photos\/244-94-DENSRG7630A.jpg"",""ith"":""https:\/\/tse3.mm.bing.net\/th?id=OIP.ylGhpO-jsgKUdlbfdEIk2gHaHa\u0026pid=Api\u0026P=0\u0026w=300\u0026h=300"",""rb"":"";_ylt=Awr9_TfuJwNmVDAHmMmJzbkF;_ylu=c2VjA3NyBHNsawNpbWcEb2lkA2Y3YTBiMDc3ZjE0YWQ3YjY1MDI0Mjk0N2Q3ZjcwMDRkBGdwb3MDMgRpdANiaW5n"",""rs"":0,""typ"":""""}",https://b.scdn.gr/images/sku_images/074720/74720104/20230419105737_b9b23feb.jpeg,,https://www.google.com/search?q=Dell%20G16%20i7%2013700HX%2032%201TB%204060%20Gaming%20Laptop%20Notebook%20-%20Manufacturer%20Stock%20Image&source=lnms&tbm=isch&sa=X&ved=2ahUKEwi_sfHlpeb8AhUvhP0HHVD6B6oQ_AUoAnoECAEQBA&biw=1920&bih=1009&dpr=1,https://www.google.com/search?q=Dell%20G16%20i7%2013700HX%2032%201TB%204060%20Gaming%20Laptop%20Notebook%20-%20Manufacturer%20Stock%20Image&source=lnms&tbm=isch&sa=X&ved=2ahUKEwi_sfHlpeb8AhUvhP0HHVD6B6oQ_AUoAnoECAEQBA&biw=1920&bih=1009&dpr=1
iPhone 15 128gb Blue,Brand New,4,78.15,312.6,16800,67200,iPhone%2015%20128gb%20Blue%20-%20Manufacturer%20Stock%20Image,https://images.search.yahoo.com/search/images?p=iPhone%2015%20128gb%20Blue%20-%20Manufacturer%20Stock%20Image,,https://www.incredible.co.za/media/catalog/product/cache/7ce9addd40d23ee411c2cc726ad5e7ed/i/p/iphone_15_blue_pdp_image_position_1__wwen_ecommerce_494f.png,,https://www.google.com/search?q=iPhone%2015%20128gb%20Blue%20-%20Manufacturer%20Stock%20Image&source=lnms&tbm=isch&sa=X&ved=2ahUKEwi_sfHlpeb8AhUvhP0HHVD6B6oQ_AUoAnoECAEQBA&biw=1920&bih=1009&dpr=1,https://www.google.com/search?q=iPhone%2015%20128gb%20Blue%20-%20Manufacturer%20Stock%20Image&source=lnms&tbm=isch&sa=X&ved=2ahUKEwi_sfHlpeb8AhUvhP0HHVD6B6oQ_AUoAnoECAEQBA&biw=1920&bih=1009&dpr=1
iPhone 15 128gb Black,Brand New,3,78.15,234.45,16800,50400,iPhone%2015%20128gb%20Black%20-%20Manufacturer%20Stock%20Image,https://images.search.yahoo.com/search/images?p=iPhone%2015%20128gb%20Black%20-%20Manufacturer%20Stock%20Image,"{""tw"":""750"",""th"":""750"",""tc"":""0"",""rtc"":"""",""stc"":"""",""a"":""www.epic.com.cy"",""s"":""33.3KB"",""w"":""750"",""h"":""750"",""hq"":false,""o"":"""",""c"":"""",""p"":false,""g"":"""",""sm"":"""",""is"":"""",""icMeta"":[],""rurl"":""https:\/\/www.epic.com.cy\/en\/i\/rjbRpqOvEGoL\/apple-iphone-15-128gb-black\/"",""sigr"":""DjYr5LbSPskb"",""hturl"":"""",""ad"":false,""alt"":""Apple 
iPhone 15 128GB 
Black"",""rtl"":0,""iurl"":""https:\/\/api.epic.com.cy\/cdn\/storage\/products\/iphone-15-pure-black-1-jpg-h4GNvVnFA.jpg"",""sigi"":""iI7_jW41u2As"",""ourl"":""https:\/\/api.epic.com.cy\/cdn\/storage\/products\/iphone-15-pure-black-1-jpg-h4GNvVnFA.jpg"",""ith"":""https:\/\/tse3.mm.bing.net\/th?id=OIP.GPXqpNSz56tLAIMK_ZumjgHaHa\u0026pid=Api\u0026P=0\u0026w=300\u0026h=300"",""rb"":"";_ylt=Awr9_TdsMQNmThkH.FiJzbkF;_ylu=c2VjA3NyBHNsawNpbWcEb2lkA2M0NGVlMDBkNDQzZWEzZjcyMDE0ZDVkNmQwMmIxNDA1BGdwb3MDMQRpdANiaW5n"",""rs"":0,""typ"":""""}",https://www.incredible.co.za/media/catalog/product/cache/7ce9addd40d23ee411c2cc726ad5e7ed/i/p/iphone_15_black_pdp_image_position_1__wwen_ecommerce_ea85.png,,https://www.google.com/search?q=iPhone%2015%20128gb%20Black%20-%20Manufacturer%20Stock%20Image&source=lnms&tbm=isch&sa=X&ved=2ahUKEwi_sfHlpeb8AhUvhP0HHVD6B6oQ_AUoAnoECAEQBA&biw=1920&bih=1009&dpr=1,https://www.google.com/search?q=iPhone%2015%20128gb%20Black%20-%20Manufacturer%20Stock%20Image&source=lnms&tbm=isch&sa=X&ved=2ahUKEwi_sfHlpeb8AhUvhP0HHVD6B6oQ_AUoAnoECAEQBA&biw=1920&bih=1009&dpr=1
iPhone 15 128gb Green,Brand New,2,78.15,156.3,16800,33600,iPhone%2015%20128gb%20Green%20-%20Manufacturer%20Stock%20Image,https://images.search.yahoo.com/search/images?p=iPhone%2015%20128gb%20Green%20-%20Manufacturer%20Stock%20Image,,https://www.incredible.co.za/media/catalog/product/cache/7ce9addd40d23ee411c2cc726ad5e7ed/i/p/iphone_15_green_primary_image_ecommerce_9b62.png,,https://www.google.com/search?q=iPhone%2015%20128gb%20Green%20-%20Manufacturer%20Stock%20Image&source=lnms&tbm=isch&sa=X&ved=2ahUKEwi_sfHlpeb8AhUvhP0HHVD6B6oQ_AUoAnoECAEQBA&biw=1920&bih=1009&dpr=1,https://www.google.com/search?q=iPhone%2015%20128gb%20Green%20-%20Manufacturer%20Stock%20Image&source=lnms&tbm=isch&sa=X&ved=2ahUKEwi_sfHlpeb8AhUvhP0HHVD6B6oQ_AUoAnoECAEQBA&biw=1920&bih=1009&dpr=1
iPhone 15 128gb Pink,Brand New,2,78.15,156.3,16800,33600,iPhone%2015%20128gb%20Pink%20-%20Manufacturer%20Stock%20Image,https://images.search.yahoo.com/search/images?p=iPhone%2015%20128gb%20Pink%20-%20Manufacturer%20Stock%20Image,"{""tw"":""970"",""th"":""546"",""tc"":""0"",""rtc"":"""",""stc"":"""",""a"":""www.whirlapps.com"",""s"":""32.9KB"",""w"":""970"",""h"":""546"",""hq"":false,""o"":"""",""c"":"""",""p"":false,""g"":"""",""sm"":"""",""is"":"""",""icMeta"":[],""rurl"":""https:\/\/www.whirlapps.com\/news\/iphone-15-red"",""sigr"":""PcJHFzud4KMq"",""hturl"":"""",""ad"":false,""alt"":""\u4f20\u8a00\u82f9\u679c\u7684\u65b0iPhone 
15\u4e13\u4e1a\u8272\u5f69\u91ce\u751f|\u521b\u610fBloq\u9a71\u52a8\u5668\u7684\u7c89\u4e1d 
- \u5fc5\u5a01 
\u897f\u6c49\u59c6\u8054"",""rtl"":0,""iurl"":""https:\/\/cdn.mos.cms.futurecdn.net\/d9KJpQxAt7Jbgb2h222rPL-970-80.jpg"",""sigi"":""4Jf.35x5MCig"",""ourl"":""https:\/\/cdn.mos.cms.futurecdn.net\/d9KJpQxAt7Jbgb2h222rPL-970-80.jpg"",""ith"":""https:\/\/tse2.mm.bing.net\/th?id=OIP.1job2Hxl1pTwy2umKCP3IwHaEK\u0026pid=Api\u0026P=0\u0026w=300\u0026h=300"",""rb"":"";_ylt=Awrjbo9sMQNmRxkXXTeJzbkF;_ylu=c2VjA3NyBHNsawNpbWcEb2lkA2JmNjYwZGQ4NDExODIwOTdmNzRiMzE3Zjk1NGQ1NGVkBGdwb3MDMgRpdANiaW5n"",""rs"":0,""typ"":""""}",https://www.incredible.co.za/media/catalog/product/cache/7ce9addd40d23ee411c2cc726ad5e7ed/i/p/iphone_15_pink_pdp_image_position_1__wwen_ecommerce_a63e.png,,https://www.google.com/search?q=iPhone%2015%20128gb%20Pink%20-%20Manufacturer%20Stock%20Image&source=lnms&tbm=isch&sa=X&ved=2ahUKEwi_sfHlpeb8AhUvhP0HHVD6B6oQ_AUoAnoECAEQBA&biw=1920&bih=1009&dpr=1,https://www.google.com/search?q=iPhone%2015%20128gb%20Pink%20-%20Manufacturer%20Stock%20Image&source=lnms&tbm=isch&sa=X&ved=2ahUKEwi_sfHlpeb8AhUvhP0HHVD6B6oQ_AUoAnoECAEQBA&biw=1920&bih=1009&dpr=1
Garmin Edge 1040 Cycling Computer,Brand New,1,2999.95,2999.95,10800,10800,Garmin%20Edge%201040%20Cycling%20Computer%20-%20Manufacturer%20Stock%20Image,https://images.search.yahoo.com/search/images?p=Garmin%20Edge%201040%20Cycling%20Computer%20-%20Manufacturer%20Stock%20Image,,https://startfitness.co.uk/cdn/shop/products/garmin-edge-1040-gps-cycling-computer-black-753759279684-37308762882256.jpg?v=1702923204&width=1946,,https://www.google.com/search?q=Garmin%20Edge%201040%20Cycling%20Computer%20-%20Manufacturer%20Stock%20Image&source=lnms&tbm=isch&sa=X&ved=2ahUKEwi_sfHlpeb8AhUvhP0HHVD6B6oQ_AUoAnoECAEQBA&biw=1920&bih=1009&dpr=1,https://www.google.com/search?q=Garmin%20Edge%201040%20Cycling%20Computer%20-%20Manufacturer%20Stock%20Image&source=lnms&tbm=isch&sa=X&ved=2ahUKEwi_sfHlpeb8AhUvhP0HHVD6B6oQ_AUoAnoECAEQBA&biw=1920&bih=1009&dpr=1
Playstation VR 2 (PS5),New Unsealed,1,9960,9960,10000,10000,Playstation%20VR%202%20%28PS5%29%20-%20Manufacturer%20Stock%20Image,https://images.search.yahoo.com/search/images?p=Playstation%20VR%202%20%28PS5%29%20-%20Manufacturer%20Stock%20Image,"{""tw"":""1920"",""th"":""1030"",""tc"":""0"",""rtc"":"""",""stc"":"""",""a"":""www.playstation.com"",""s"":""134.3KB"",""w"":""1920"",""h"":""1030"",""hq"":false,""o"":"""",""c"":"""",""p"":false,""g"":"""",""sm"":"""",""is"":"""",""icMeta"":[],""rurl"":""https:\/\/www.playstation.com\/en-us\/ps-vr2\/"",""sigr"":""pR0gxXSBvSEP"",""hturl"":"""",""ad"":false,""alt"":""PlayStation\u00aeVR2 
| The next generation of VR gaming on PS5 | PlayStation 
(US)"",""rtl"":0,""iurl"":""https:\/\/gmedia.playstation.com\/is\/image\/SIEPDC\/psvr2-headset-controllers-image-block-02-en-22feb22?$native$"",""sigi"":""FHtqHxZYB7mL"",""ourl"":""https:\/\/gmedia.playstation.com\/is\/image\/SIEPDC\/psvr2-headset-controllers-image-block-02-en-22feb22?$native$"",""ith"":""https:\/\/tse4.mm.bing.net\/th?id=OIP.p2eyZeLincyc1zgb1th88AHaD-\u0026pid=Api\u0026P=0\u0026w=300\u0026h=300"",""rb"":"";_ylt=Awrjff1tMQNmZGQZN2iJzbkF;_ylu=c2VjA3NyBHNsawNpbWcEb2lkA2RkN2M4NjJlYWY2N2NhMDUyMmQxYTZmY2VhZjU2YWIwBGdwb3MDMQRpdANiaW5n"",""rs"":0,""typ"":""""}",https://assetsio.gnwcdn.com/psvr2-headset-01.png?width=1200&height=1200&fit=bounds&quality=70&format=jpg&auto=webp,,https://www.google.com/search?q=Playstation%20VR%202%20%28PS5%29%20-%20Manufacturer%20Stock%20Image&source=lnms&tbm=isch&sa=X&ved=2ahUKEwi_sfHlpeb8AhUvhP0HHVD6B6oQ_AUoAnoECAEQBA&biw=1920&bih=1009&dpr=1,https://www.google.com/search?q=Playstation%20VR%202%20%28PS5%29%20-%20Manufacturer%20Stock%20Image&source=lnms&tbm=isch&sa=X&ved=2ahUKEwi_sfHlpeb8AhUvhP0HHVD6B6oQ_AUoAnoECAEQBA&biw=1920&bih=1009&dpr=1
Apple iPad Mini 6 Wi-Fi 256GB Starlight,Brand New,3,6309,18927,9500,28500,Apple%20iPad%20Mini%206%20Wi-Fi%20256GB%20Starlight%20-%20Manufacturer%20Stock%20Image,https://images.search.yahoo.com/search/images?p=Apple%20iPad%20Mini%206%20Wi-Fi%20256GB%20Starlight%20-%20Manufacturer%20Stock%20Image,"{""tw"":""1507"",""th"":""3088"",""tc"":""0"",""rtc"":"""",""stc"":"""",""a"":""www.bestbuy.com"",""s"":""727.8KB"",""w"":""1507"",""h"":""3088"",""hq"":false,""o"":"""",""c"":"""",""p"":false,""g"":"""",""sm"":"""",""is"":"""",""icMeta"":[],""rurl"":""https:\/\/www.bestbuy.com\/site\/apple-ipad-mini-latest-model-with-wi-fi-cellular-256gb-starlight-unlocked\/6340487.p"",""sigr"":""XLYk9pmoWlzD"",""hturl"":"""",""ad"":false,""alt"":""Apple 
iPad mini (Latest Model) with Wi-Fi + Cellular 256GB Starlight (Unlocked) 
MK8H3LL\/A - Best 
Buy"",""rtl"":0,""iurl"":""https:\/\/pisces.bbystatic.com\/image2\/BestBuy_US\/images\/products\/6340\/6340487cv11d.jpg"",""sigi"":""ooBwbvcjIHXH"",""ourl"":""https:\/\/pisces.bbystatic.com\/image2\/BestBuy_US\/images\/products\/6340\/6340487cv11d.jpg"",""ith"":""https:\/\/tse4.mm.bing.net\/th?id=OIP.6YIwwhABJGf4NQWgjIsSygHaPL\u0026pid=Api\u0026P=0\u0026w=300\u0026h=300"",""rb"":"";_ylt=AwrOo.NzMQNmnfYZdEOJzbkF;_ylu=c2VjA3NyBHNsawNpbWcEb2lkAzZjOTk3YjVhNTY5M2RhZGM1Njk1ODIzMjg1YmE5YmFmBGdwb3MDMQRpdANiaW5n"",""rs"":0,""typ"":""""}",https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6340/6340487cv11d.jpg,,https://www.google.com/search?q=Apple%20iPad%20Mini%206%20Wi-Fi%20256GB%20Starlight%20-%20Manufacturer%20Stock%20Image&source=lnms&tbm=isch&sa=X&ved=2ahUKEwi_sfHlpeb8AhUvhP0HHVD6B6oQ_AUoAnoECAEQBA&biw=1920&bih=1009&dpr=1,https://www.google.com/search?q=Apple%20iPad%20Mini%206%20Wi-Fi%20256GB%20Starlight%20-%20Manufacturer%20Stock%20Image&source=lnms&tbm=isch&sa=X&ved=2ahUKEwi_sfHlpeb8AhUvhP0HHVD6B6oQ_AUoAnoECAEQBA&biw=1920&bih=1009&dpr=1
Apple iPad Mini 6 Wi-Fi + Cellular 64GB Purple,Brand New,2,7491.5,14983,9500,19000,Apple%20iPad%20Mini%206%20Wi-Fi%20%2B%20Cellular%2064GB%20Purple%20-%20Manufacturer%20Stock%20Image,https://images.search.yahoo.com/search/images?p=Apple%20iPad%20Mini%206%20Wi-Fi%20%2B%20Cellular%2064GB%20Purple%20-%20Manufacturer%20Stock%20Image,"{""tw"":""700"",""th"":""700"",""tc"":""0"",""rtc"":"""",""stc"":"""",""a"":""www.incredible.co.za"",""s"":""37.7KB"",""w"":""700"",""h"":""700"",""hq"":false,""o"":"""",""c"":"""",""p"":false,""g"":"""",""sm"":"""",""is"":"""",""icMeta"":[],""rurl"":""https:\/\/www.incredible.co.za\/apple-ipad-mini-6-wi-fi-64gb-purple"",""sigr"":""X5QlCfBN6Ruc"",""hturl"":"""",""ad"":false,""alt"":""Apple 
iPad Mini 6 Wi-Fi 64GB Purple - Incredible 
Connection"",""rtl"":0,""iurl"":""https:\/\/www.incredible.co.za\/media\/catalog\/product\/cache\/7ce9addd40d23ee411c2cc726ad5e7ed\/i\/p\/ipad_mini_cellular_purple_64gb_bd2d.jpg"",""sigi"":""CFoEgSSyYJdv"",""ourl"":""https:\/\/www.incredible.co.za\/media\/catalog\/product\/cache\/7ce9addd40d23ee411c2cc726ad5e7ed\/i\/p\/ipad_mini_cellular_purple_64gb_bd2d.jpg"",""ith"":""https:\/\/tse1.mm.bing.net\/th?id=OIP.EMUvN2ZIxv4_57RcLfiu1wHaHa\u0026pid=Api\u0026P=0\u0026w=300\u0026h=300"",""rb"":"";_ylt=AwrOo.NmMgNmp68ZY46JzbkF;_ylu=c2VjA3NyBHNsawNpbWcEb2lkAzI0M2ZjNTA3ZGI3NDA4YWU1YmE4ZTc2Y2E2ZTYyZmM1BGdwb3MDMQRpdANiaW5n"",""rs"":0,""typ"":""""}",https://www.incredible.co.za/media/catalog/product/cache/7ce9addd40d23ee411c2cc726ad5e7ed/i/p/ipad_mini_cellular_purple_64gb_bd2d.jpg,,https://www.google.com/search?q=Apple%20iPad%20Mini%206%20Wi-Fi%20%2B%20Cellular%2064GB%20Purple%20-%20Manufacturer%20Stock%20Image&source=lnms&tbm=isch&sa=X&ved=2ahUKEwi_sfHlpeb8AhUvhP0HHVD6B6oQ_AUoAnoECAEQBA&biw=1920&bih=1009&dpr=1,https://www.google.com/search?q=Apple%20iPad%20Mini%206%20Wi-Fi%20%2B%20Cellular%2064GB%20Purple%20-%20Manufacturer%20Stock%20Image&source=lnms&tbm=isch&sa=X&ved=2ahUKEwi_sfHlpeb8AhUvhP0HHVD6B6oQ_AUoAnoECAEQBA&biw=1920&bih=1009&dpr=1
Google Pixel 7a - Charcoal,Brand New,1,8167.56,8167.56,9500,9500,Google%20Pixel%207a%20-%20Charcoal%20-%20Manufacturer%20Stock%20Image,https://images.search.yahoo.com/search/images?p=Google%20Pixel%207a%20-%20Charcoal%20-%20Manufacturer%20Stock%20Image,"{""tw"":""700"",""th"":""700"",""tc"":""0"",""rtc"":"""",""stc"":"""",""a"":""www.mobiletrade.ee"",""s"":""319.8KB"",""w"":""700"",""h"":""700"",""hq"":false,""o"":"""",""c"":"""",""p"":false,""g"":"""",""sm"":"""",""is"":"""",""icMeta"":[],""rurl"":""https:\/\/www.mobiletrade.ee\/et\/a\/google-pixel-7a-128gb-charcoal"",""sigr"":""VOrCZ_qQ6aOw"",""hturl"":"""",""ad"":false,""alt"":""Google 
Pixel 7a 128GB @ Mobile 
Trade"",""rtl"":0,""iurl"":""https:\/\/www.mobiletrade.ee\/media\/mobiletrade\/.product-image\/large\/product\/pictures\/Google%20Pixel%207a%20(Charcoal).png"",""sigi"":""bSuCd0IaDemN"",""ourl"":""https:\/\/www.mobiletrade.ee\/media\/mobiletrade\/.product-image\/large\/product\/pictures\/Google%20Pixel%207a%20(Charcoal).png"",""ith"":""https:\/\/tse2.mm.bing.net\/th?id=OIP.77QD93VGCBB_9KUnPgTuAwHaHa\u0026pid=Api\u0026P=0\u0026w=300\u0026h=300"",""rb"":"";_ylt=AwrOo.NuMQNmVm8Z6rSJzbkF;_ylu=c2VjA3NyBHNsawNpbWcEb2lkAzA0ZjBkMmJjYWY2YWU0Yjk3MDllODdmZDFkMjc3ZWYzBGdwb3MDMwRpdANiaW5n"",""rs"":0,""typ"":""""}",https://cdn.movertix.com/media/catalog/product/cache/image/1200x/g/o/google-pixel-7a-5g-charcoal-128gb.jpg,,https://www.google.com/search?q=Google%20Pixel%207a%20-%20Charcoal%20-%20Manufacturer%20Stock%20Image&source=lnms&tbm=isch&sa=X&ved=2ahUKEwi_sfHlpeb8AhUvhP0HHVD6B6oQ_AUoAnoECAEQBA&biw=1920&bih=1009&dpr=1,https://www.google.com/search?q=Google%20Pixel%207a%20-%20Charcoal%20-%20Manufacturer%20Stock%20Image&source=lnms&tbm=isch&sa=X&ved=2ahUKEwi_sfHlpeb8AhUvhP0HHVD6B6oQ_AUoAnoECAEQBA&biw=1920&bih=1009&dpr=1
